date,asopr
2025-09-23,1.02836048
2025-09-24,1.02915964
2025-09-25,1.01889035
2025-09-26,1.00644382
2025-09-27,1.00692739
2025-09-28,1.01085554
2025-09-29,1.02117236
2025-09-30,1.03226262
2025-10-01,1.06835491
2025-10-02,1.03959383
2025-10-03,1.03563058
2025-10-04,1.0338178
2025-10-05,1.0262887
2025-10-06,1.03108406
2025-10-07,1.0801408
2025-10-08,1.03242255
2025-10-09,1.03864188
2025-10-10,1.00581614
2025-10-11,0.9986506
2025-10-12,1.00809303
2025-10-13,1.00480564
2025-10-14,1.02442892
2025-10-15,1.0824835
2025-10-16,0.99198613
2025-10-17,1.01139724
2025-10-18,1.00887598
2025-10-19,1.00251185
2025-10-20,1.00997579
2025-10-21,1.01975053
2025-10-22,1.03876948
2025-10-23,1.0200447
2025-10-24,1.01234716
2025-10-25,1.01142177
2025-10-26,1.02521292
2025-10-27,1.03151788
2025-10-28,1.04869288
2025-10-29,1.03396682
2025-10-30,1.034933
2025-10-31,1.01105665
2025-11-01,1.02264877
2025-11-02,1.00673613
2025-11-03,1.00975595
2025-11-04,0.9925
2025-11-05,0.9967
2025-11-06,0.9988
2025-11-07,1.0548
2025-11-08,1.0101
2025-11-09,1.0068
2025-11-10,1.021
2025-11-11,1.0069
2025-11-12,1.0075
2025-11-13,0.9934
2025-11-14,0.9805
2025-11-15,1.0022
2025-11-16,0.9955
2025-11-17,0.9914
2025-11-18,1.0087
2025-11-19,0.9826
2025-11-20,0.9892
2025-11-21,0.9514
2025-11-22,1.0376
2025-11-23,1.1859
2025-11-24,0.9989
2025-11-25,0.9963
